Koodi;Selitys
1110;Vedenalaiset hiekkasärkät
1130;Jokisuistot
1150;Rannikon laguunit
1160;Laajat matalat lahdet
1170;Riutat
1210;Rantavallit
1220;Kivikkorannat
1230;Kasvipeitteiset merenrantakalliot
1610;Harjusaaret
1620;Ulkosaariston saaret ja luodot
1630;Merenrantaniityt
1640;Itämeren hiekkarannat
1650;Kapeat murtovesilahdet
2110;Liikkuvat alkiovaiheen dyynit
2120;Liikkuvat rantakauradyynit
2130;Kiinteät ruohokasvillisuuden peittämät dyynit
2140;Variksenmarjadyynit
2180;Metsäiset dyynit
2190;Dyynialueiden kosteat soistuneet painanteet
2320;Kuivat kanerva- ja variksenmarjadyynit
3110;Karut kirkasvetiset järvet
3130;Niukka-keskiravinteiset järvet
3140;Kalkkilammet ja järvet
3150;Luontaisesti ravinteiset järvet
3160;Humuspitoiset järvet ja lammet
3210;Luonnontilaiset jokireitit
3220;Tunturijoet ja purot
3230;Pensaskanervikot
3260;Pikkujoet ja purot
4030;Kuivat nummet
4060;Tunturikankaat
4080;Tunturipajukot
6150;Karut tunturiniityt
6210;Kuivat niityt ja pensaikot kalkkipit. alustoilla
6230;Runsaslajiset jäkkiniityt
6270;Runsaslajiset kuivat ja tuoreet niityt
6280;Alvarit ja kalkkivaikutteiset kalliokedot
6410;Siniheinäniityt
6430;Kosteat suurruohoniityt
6450;Tulvaniityt
6510;Alavat niitetyt niityt
6520;Vuoristojen niitetyt niityt
6530;Lehdes- ja vesaniityt
7110;Keidassuot
7120;Muuttuneet ennallistamiskelpoiset keidassuot
7140;Vaihettumissuot ja rantasuot
7160;Lähteet ja lähdesuot
7210;Taarnaluhtaletot
7220;Huurresammallähteet
7230;Letot
7240;Tuntureiden rehevät puronvarsisuot
7310;Aapasuot
7320;Palsasuot
8110;Tuntureiden vyärysoraikot ja -lohkareikot
8210;Kalkkikalliot
8220;Silikaattikalliot
8230;Kallioiden pioneerikasvillisuus
9010;Luonnonmetsät
9020;Jalopuumetsät
9030;Maankohoamisrannikon primäärisukkessiovaiheiden
9040;Tunturikoivikot
9050;Lehdot
9060;Harjumetsät
9070;Hakamaat ja kaskilaitumet
9080;Metsäluhdat
9180;raviini- ja rinnelehdot
9190;Vanhat tammimetsät
91D0;Puustoiset suot
91E0;Tulvametsät
